priority,tier,situation_id,reason,pass2_consensus,proposed_label,p1_actions
LOW,4,d3409_HJ_river,tier4_expert_flagged,CALL,CALL,FOLD/CALL/CALL/CALL
LOW,4,d3687_HJ_turn,tier4_expert_flagged,CHECK,CHECK,CHECK/CHECK/CHECK/BET
LOW,4,d4211_HJ_turn,tier4_expert_flagged,CALL,CALL,FOLD/CALL/CALL/CALL
LOW,4,d6508_BB_flop,tier4_expert_flagged,CHECK,CHECK,CHECK/CHECK/BET/CHECK
LOW,4,d6709_BTN_flop,tier4_expert_flagged,CHECK,CHECK,CHECK/CHECK/BET/CHECK
LOW,4,d6826_BTN_turn,tier4_expert_flagged,FOLD,FOLD,FOLD/FOLD/CALL/FOLD
LOW,4,d6869_CO_turn,tier4_expert_flagged,CHECK,CHECK,CHECK/CHECK/CHECK/BET
LOW,4,d7296_BB_flop,tier4_expert_flagged,CHECK,CHECK,CHECK/CHECK/BET/CHECK
LOW,4,d7760_BTN_flop,tier4_expert_flagged,CHECK,CHECK,CHECK/BET/CHECK/CHECK
LOW,4,d8453_BTN_turn,tier4_expert_flagged,BET,BET,BET/CHECK/BET/BET
LOW,4,d9208_BB_turn,tier4_expert_flagged,BET,BET,BET/CHECK/BET/BET
LOW,4,d9556_BB_turn,tier4_expert_flagged,BET,BET,BET/BET/CHECK/BET
LOW,4,d9989_BB_flop,tier4_expert_flagged,CHECK,CHECK,CHECK/BET/CHECK/CHECK
LOW,5,d0182_BTN_flop,tier5_challenger_flagged,BET,BET,BET/BET/BET/BET
LOW,5,d0976_BTN_turn,tier5_challenger_flagged,BET,BET,BET/BET/BET/BET
LOW,5,d2139_BTN_flop,tier5_challenger_flagged,BET,BET,BET/BET/BET/BET
LOW,5,d2833_BTN_flop,tier5_challenger_flagged,BET,BET,BET/BET/BET/BET
LOW,5,d3456_BTN_turn,tier5_challenger_flagged,BET,BET,BET/BET/BET/BET
LOW,5,d3642_BTN_flop,tier5_challenger_flagged,BET,BET,BET/BET/BET/BET
LOW,5,d4534_BB_flop,tier5_challenger_flagged,BET,BET,BET/BET/BET/BET
LOW,5,d8473_BTN_turn,tier5_challenger_flagged,BET,BET,BET/BET/BET/BET
